
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62174  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62175  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62178  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1560  [fe80::ee33:8fbd:e5be:4cd2%18]:56345  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:56344  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:56345  [fe80::ee33:8fbd:e5be:4cd2%18]:1560  ESTABLISHED     4808
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62098  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62106  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62112  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62113  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62114  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62115  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62117  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62118  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62120  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62122  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62123  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62124  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62125  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62126  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62128  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62129  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62130  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62131  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62132  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62133  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62137  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62140  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62141  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62143  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  TIME_WAIT       0
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:62144  [fe80::ee33:8fbd:e5be:4cd2%18]:1541  ESTABLISHED     8380
