Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   1864 Services                   0      4В 292 K
svchost.exe                   1872 Console                    1     15В 220 K
svchost.exe                   1880 Services                   0      5В 052 K
svchost.exe                   1936 Services                   0      7В 276 K
svchost.exe                   2012 Services                   0      5В 744 K
svchost.exe                   2072 Services                   0     16В 212 K
svchost.exe                   2132 Services                   0     20В 988 K
svchost.exe                   2160 Services                   0      7В 384 K
svchost.exe                   2176 Services                   0      5В 060 K
svchost.exe                   2184 Services                   0     18В 140 K
svchost.exe                   2412 Services                   0      6В 932 K
svchost.exe                   2456 Services                   0      9В 076 K
svchost.exe                   2536 Services                   0      6В 736 K
svchost.exe                   2548 Services                   0     10В 452 K
svchost.exe                   2676 Services                   0     13В 824 K
svchost.exe                   2712 Services                   0      5В 076 K
svchost.exe                   2744 Services                   0      6В 836 K
svchost.exe                   2748 Services                   0      7В 148 K
svchost.exe                   2852 Services                   0      5В 608 K
svchost.exe                   2944 Services                   0      6В 816 K
svchost.exe                   3024 Services                   0      8В 252 K
svchost.exe                   3156 Services                   0     15В 408 K
svchost.exe                   3196 Services                   0      8В 716 K
svchost.exe                   3288 Services                   0     15В 452 K
svchost.exe                   3340 Services                   0      6В 388 K
svchost.exe                   3384 Console                    1      5В 820 K
svchost.exe                   3504 Services                   0      6В 124 K
svchost.exe                   3512 Services                   0      5В 568 K
svchost.exe                   3520 Services                   0     18В 504 K
svchost.exe                   3524 Console                    1     24В 040 K
svchost.exe                   3536 Services                   0     15В 276 K
svchost.exe                   3552 Services                   0     39В 148 K
svchost.exe                   3588 Services                   0     27В 792 K
svchost.exe                   3620 Services                   0      7В 960 K
svchost.exe                   3736 Services                   0      9В 136 K
svchost.exe                   3940 Services                   0      3В 892 K
svchost.exe                   3968 Services                   0     16В 864 K
svchost.exe                   4056 Services                   0     18В 400 K
svchost.exe                   4068 Services                   0      5В 376 K
svchost.exe                   4104 Services                   0     11В 520 K
svchost.exe                   4460 Services                   0      8В 612 K
svchost.exe                   5328 Services                   0     15В 876 K
svchost.exe                   5628 Services                   0      9В 896 K
svchost.exe                   5764 Services                   0     18В 968 K
svchost.exe                   6128 Services                   0      7В 112 K
svchost.exe                   6136 Console                    1     15В 244 K
svchost.exe                   6536 Services                   0      8В 116 K
svchost.exe                   6672 Services                   0     15В 160 K
svchost.exe                   6740 Services                   0     12В 656 K
svchost.exe                   6996 Services                   0      6В 924 K
svchost.exe                   7356 Services                   0      9В 244 K
svchost.exe                   7404 Services                   0     10В 780 K
svchost.exe                   8532 Services                   0     27В 468 K
svchost.exe                   8736 Console                    1     19В 360 K
svchost.exe                   9068 Services                   0      7В 772 K
svchost.exe                   9092 Services                   0     18В 804 K
svchost.exe                   9312 Services                   0     15В 124 K
svchost.exe                   9440 Console                    1      5В 984 K
svchost.exe                   9748 Services                   0      7В 752 K
svchost.exe                  10724 Services                   0     16В 016 K
svchost.exe                  12304 Services                   0      6В 392 K
svchost.exe                  12580 Services                   0     10В 024 K
svchost.exe                  12840 Services                   0      7В 240 K
svchost.exe                  13184 Console                    1      9В 556 K
svchost.exe                  13320 Services                   0     10В 108 K
svchost.exe                  15628 Services                   0      9В 652 K
svchost.exe                  15684 Console                    1     14В 308 K
svchost.exe                  16284 Console                    1     14В 328 K
svchost.exe                  17048 Services                   0      9В 360 K
svchost.exe                  20032 Services                   0     12В 524 K
System                           4 Services                   0      2В 668 K
System Idle Process              0 Services                   0          8 K
taskhostw.exe                 6148 Console                    1     16В 916 K
taskhostw.exe                17328 Console                    1     20В 292 K
tasklist.exe                  3700 Console                    1     13В 024 K
Telegram.exe                  1260 Console                    1    223В 368 K
TextInputHost.exe            11136 Console                    1     54В 280 K
Widgets.exe                   9336 Console                    1     50В 416 K
WidgetService.exe             9820 Console                    1     14В 412 K
wininit.exe                   1012 Services                   0      4В 580 K
winlogon.exe                  1032 Console                    1      8В 468 K
wksprt.exe                   14988 Console                    1     13В 204 K
WmiPrvSE.exe                  4976 Services                   0      8В 796 K
WmiPrvSE.exe                 10340 Services                   0     14В 660 K
WMIRegistrationService.ex     4092 Services                   0      7В 656 K
